jobcountry,country,sector,month,n_obs,posted_wage_growth_yoy,posted_wage_growth_yoy_3moavg
US,United States,Construction,Dec-22,13035,0.049962172,0.053713076
US,United States,Construction,Jan-23,15394,0.052631579,0.050423603
US,United States,Construction,Feb-23,15467,0.057692308,0.053428686
US,United States,Construction,Mar-23,21627,0.04,0.050107962
US,United States,Construction,Apr-23,21492,0.044444444,0.047378917
US,United States,Construction,May-23,21334,0.042755586,0.04240001
US,United States,Construction,Jun-23,21045,0.04,0.04240001
US,United States,Construction,Jul-23,19684,0.038048767,0.040268118
US,United States,Construction,Aug-23,22698,0.038218111,0.038755626
US,United States,Construction,Sep-23,20711,0.042253521,0.0395068
US,United States,Construction,Oct-23,18192,0.03125,0.037240544
US,United States,Construction,Nov-23,15125,0.033060109,0.03552121
US,United States,Construction,Dec-23,12477,0.038837211,0.03438244
US,United States,Construction,Jan-24,15517,0.028571429,0.033489583
US,United States,Construction,Feb-24,16631,0.028018532,0.031809057
US,United States,Construction,Mar-24,19767,0.03125,0.029279987
US,United States,Construction,Apr-24,18313,0.029411765,0.029560099
US,United States,Construction,May-24,18012,0.035504202,0.032055322
US,United States,Construction,Jun-24,15472,0.029302611,0.031406192
US,United States,Construction,Jul-24,14181,0.028796204,0.031201005
US,United States,Construction,Aug-24,15911,0.025641026,0.02791328
US,United States,Construction,Sep-24,13206,0.023809524,0.026082251
US,United States,Construction,Oct-24,13575,0.022874999,0.024108516
US,United States,Construction,Nov-24,10033,0.027868866,0.02485113
US,United States,Construction,Dec-24,8226,0.024960732,0.025234866
US,United States,Construction,Jan-25,12643,0.032193662,0.028341087
US,United States,Construction,Feb-25,12159,0.020833333,0.025995909
US,United States,Customer Service,Jan-19,12926,0.04,NA
US,United States,Customer Service,Feb-19,13131,0.037037037,NA
US,United States,Customer Service,Mar-19,16701,0.043478261,0.040171766
US,United States,Customer Service,Apr-19,16760,0.037037037,0.039184112
US,United States,Customer Service,May-19,16976,0.037037037,0.039184112
US,United States,Customer Service,Jun-19,14635,0.035315171,0.036463082
US,United States,Customer Service,Jul-19,15491,0.032258065,0.034870091
US,United States,Customer Service,Aug-19,17957,0.037037037,0.034870091
US,United States,Customer Service,Sep-19,15311,0.039473684,0.036256262
US,United States,Customer Service,Oct-19,17465,0.033898305,0.036803009
US,United States,Customer Service,Nov-19,14560,0.030286332,0.034552774
US,United States,Customer Service,Dec-19,12534,0.022926227,0.029036955
US,United States,Customer Service,Jan-20,17822,0.026890971,0.026701177
US,United States,Customer Service,Feb-20,20201,0.025381874,0.025066358
US,United States,Customer Service,Mar-20,14524,0.038461538,0.030244795
US,United States,Customer Service,Apr-20,7618,0.035714286,0.033185899
US,United States,Customer Service,May-20,14141,0.013333333,0.029169719
US,United States,Customer Service,Jun-20,18090,0.016666667,0.021904762
US,United States,Customer Service,Jul-20,21998,0.014213009,0.01473767
US,United States,Customer Service,Aug-20,23336,0.022727273,0.017868983
US,United States,Customer Service,Sep-20,24506,0.032258065,0.023066116
US,United States,Customer Service,Oct-20,25391,0.04,0.031661779
US,United States,Customer Service,Nov-20,18275,0.035714286,0.035990783
US,United States,Customer Service,Dec-20,17061,0.041666667,0.039126984
US,United States,Customer Service,Jan-21,24206,0.04,0.039126984
US,United States,Customer Service,Feb-21,25584,0.043478261,0.041714976
US,United States,Customer Service,Mar-21,36779,0.04,0.04115942
US,United States,Customer Service,Apr-21,38614,0.043478261,0.042318841
US,United States,Customer Service,May-21,40694,0.072164948,0.05188107
US,United States,Customer Service,Jun-21,42864,0.081818147,0.065820452
US,United States,Customer Service,Jul-21,39513,0.090909091,0.081630729
US,United States,Customer Service,Aug-21,36576,0.086956522,0.086561253
US,United States,Customer Service,Sep-21,35812,0.089197313,0.089020975
US,United States,Customer Service,Oct-21,36618,0.097222222,0.091125352
US,United States,Customer Service,Nov-21,30219,0.105263158,0.097227564
US,United States,Customer Service,Dec-21,30071,0.095238095,0.099241158
US,United States,Customer Service,Jan-22,32999,0.1,0.100167084
US,United States,Customer Service,Feb-22,35517,0.096774194,0.09733743
US,United States,Customer Service,Mar-22,44449,0.101239966,0.099338053
US,United States,Customer Service,Apr-22,41745,0.107142857,0.101719005
US,United States,Customer Service,May-22,38900,0.1,0.102794274
US,United States,Customer Service,Jun-22,36605,0.090909091,0.099350649
US,United States,Customer Service,Jul-22,37917,0.090909091,0.093939394
US,United States,Customer Service,Aug-22,42552,0.087885465,0.089901216
US,United States,Customer Service,Sep-22,39879,0.083333333,0.087375963
US,United States,Customer Service,Oct-22,39709,0.0625,0.077906266
US,United States,Customer Service,Nov-22,33916,0.064516129,0.070116487
US,United States,Customer Service,Dec-22,30732,0.075757576,0.067591235
US,United States,Customer Service,Jan-23,35795,0.073529412,0.071267706
US,United States,Customer Service,Feb-23,35022,0.068965517,0.072750835
US,United States,Customer Service,Mar-23,42377,0.064480282,0.068991737
US,United States,Customer Service,Apr-23,39743,0.060815594,0.064753798
US,United States,Customer Service,May-23,38981,0.055172414,0.060156097
US,United States,Customer Service,Jun-23,38063,0.050786408,0.055591472
US,United States,Customer Service,Jul-23,35821,0.042857143,0.049605321
US,United States,Customer Service,Aug-23,42718,0.052812029,0.048818527
US,United States,Customer Service,Sep-23,37440,0.047619048,0.04776274
US,United States,Customer Service,Oct-23,36492,0.043478261,0.047969779
US,United States,Customer Service,Nov-23,34702,0.044343929,0.045147079
US,United States,Customer Service,Dec-23,27572,0.032522475,0.040114888
US,United States,Customer Service,Jan-24,35862,0.038910635,0.038592346
US,United States,Customer Service,Feb-24,34410,0.03581168,0.035748263
US,United States,Customer Service,Mar-24,37277,0.029834913,0.034852409
US,United States,Customer Service,Apr-24,34763,0.027777778,0.031141457
US,United States,Customer Service,May-24,33997,0.028424528,0.028679073
US,United States,Customer Service,Jun-24,31591,0.03125,0.029150769
US,United States,Customer Service,Jul-24,31047,0.034482759,0.031385762
US,United States,Customer Service,Aug-24,34648,0.025800433,0.030511064
US,United States,Customer Service,Sep-24,29056,0.034377856,0.031553682
US,United States,Customer Service,Oct-24,29830,0.033333333,0.031170541
US,United States,Customer Service,Nov-24,23695,0.031474785,0.033061991
US,United States,Customer Service,Dec-24,21851,0.033333333,0.032713817
US,United States,Customer Service,Jan-25,29013,0.029321259,0.031376459
US,United States,Customer Service,Feb-25,27117,0.034830896,0.032495163
US,United States,Education & Instruction,Jan-19,8418,0.007529863,NA
US,United States,Education & Instruction,Feb-19,7974,0.004738221,NA
US,United States,Education & Instruction,Mar-19,9456,0.020942408,0.011070164
US,United States,Education & Instruction,Apr-19,9085,0.029990524,0.018557051
US,United States,Education & Instruction,May-19,9387,0.027597233999999998,0.026176722
US,United States,Education & Instruction,Jun-19,8677,0.029189368,0.028925709
US,United States,Education & Instruction,Jul-19,12175,0.024401247,0.027062616
US,United States,Education & Instruction,Aug-19,15697,0.021403128,0.024997915
US,United States,Education & Instruction,Sep-19,9618,0.029979632,0.025261336
US,United States,Education & Instruction,Oct-19,10831,0.018841973,0.023408244
US,United States,Education & Instruction,Nov-19,9133,0.024412251,0.024411285
US,United States,Education & Instruction,Dec-19,8081,0.021980676,0.021744967
